FL_DEP_AirlineCode1,FL_DEP_DepartureFlightNumber,FL_DEP_DepartureAircraftRegistration,FL_DEP_ARCFT1,FL_DEP_SDD,FL_DEP_STD,FL_DEP_Destination1,FL_DEP_OperationType1,FL_DEP_DepartureRemarks
3T,203,,B737,10/18/2023,06:20,PZU,,
3T,203,,B737,10/19/2023,06:20,PZU,,
3T,203,,B737,10/20/2023,06:20,PZU,,
3T,203,,B737,10/21/2023,06:20,PZU,,
3T,203,,B737,10/22/2023,06:20,PZU,,
3T,203,,B737,10/23/2023,06:20,PZU,,
3T,203,,B737,10/24/2023,06:20,PZU,,
3T,203,,B737,10/25/2023,06:20,PZU,,
3T,203,,B737,10/26/2023,06:20,PZU,,
3T,203,,B737,10/27/2023,06:20,PZU,,
3T,203,,B737,10/28/2023,06:20,PZU,,
3T,203,,B737,10/29/2023,06:20,PZU,,
3T,203,,B737,10/30/2023,06:20,PZU,,
3T,203,,B737,10/31/2023,06:20,PZU,,
3T,203,C5 MAJ,B737,10/10/2023,06:20,PZU,,
3T,203,C5MAG,B737,10/17/2023,06:20,PZU,,
3T,203,C5MAJ,B737,10/14/2023,06:20,PZU,,
3T,203,C5MAJ,B737,10/3/2023,05:40,PZU,,
3T,203,C5MAJ,B737,10/7/2023,05:40,PZU,,
3T,203,STT AA,B738,10/9/2023,06:20,PZU,,
3T,203,STT AL,B737,10/2/2023,06:20,KRT,,
3T,203,STT AL,B737,10/8/2023,06:20,PZU,,
3T,203,STTAA,B737,10/13/2023,06:20,PZU,,
3T,203,STTAA,B737,10/4/2023,05:40,PZU,,
3T,203,STTAA,B737,10/5/2023,05:40,PZU,,
3T,203,STTAA,B737,10/6/2023,05:40,PZU,,
3T,203,STTAA,B738,10/11/2023,06:20,PZU,,
3T,203,STTAA,B738,10/12/2023,06:20,PZU,,
3T,203,STTAA,B738,10/15/2023,06:20,PZU,,
3T,203,STTAA,B738,10/16/2023,06:20,PZU,,
3T,203,STTAL,B737,10/1/2023,06:20,KRT,,
3T,205,,B737,10/1/2023,15:30,KRT,,
3T,205,,B737,10/17/2023,15:20,PZU,,
3T,205,,B737,10/2/2023,15:30,KRT,,
3T,205,,B737,10/20/2023,15:20,PZU,,
3T,205,,B737,10/24/2023,15:20,PZU,,
3T,205,,B737,10/27/2023,15:20,PZU,,
3T,205,,B737,10/31/2023,15:20,PZU,,
3T,205,C5MAJ,B737,10/14/2023,15:20,PZU,,
3T,205,STTAA,B737,10/16/2023,15:20,PZU,,
3T,205,STTAL,B737,10/3/2023,15:30,PZU,,
3T,205,STTAL,B737-300,10/10/2023,15:20,PZU,,
3T,205,STTAL,B737-400,10/6/2023,15:20,PZU,,
3T,205,ST-TAL,B737,10/13/2023,15:20,PZU,,
4M,8117,TCMGI,B737-900,10/16/2023,09:15,AYT,UMR,
4M,8128,TC-MGH,B737-900,10/4/2023,10:05,DIY,UMR,
4M,8134,TCMGH,B737-900,10/5/2023,10:15,KYA,UMR,
4M,8136,TCMGH,B737-900,10/5/2023,19:15,AYT,UMR,
4M,8140,,B737-900,10/9/2023,16:45,KZR,UMR,
4M,8140,TC-MGH,B737-900,10/10/2023,16:20,ADB,UMR,
4M,8142,,B737-900,10/10/2023,01:35,AOE,UMR,
4M,8146,TCMGH,B737-900,10/10/2023,04:30,GNY,UMR,
4M,8147,TCMGH,B737,10/15/2023,12:45,AYT,UMR,
4M,8152,,B737-900,10/16/2023,09:35,AYT,UMR,
4M,8154,,B737-900,10/19/2023,19:55,ESB,UMR,
4M,8158,,B737-900,10/20/2023,04:35,AYT,UMR,
4M,8162,,B737-900,10/24/2023,09:50,KZR,UMR,
4M,8164,,B737-900,10/24/2023,18:50,AYT,UMR,
4M,8166,,B737-900,10/29/2023,19:35,AYT,UMR,
4M,8168,,B737-900,10/31/2023,10:25,EDO,UMR,
4M,8212,,B737,10/27/2023,02:50,YEI,UMR,
4M,8216,,B737,10/27/2023,13:45,AYT,UMR,
4M,8254,,B737,10/18/2023,11:55,AYT,,
4M,8254,,B737-900,10/17/2023,12:15,AYT,UMR,
4M,9117,,B737,10/16/2023,08:50,AYT,UMR,
8U,1401,,A330,10/16/2023,23:15,MJI,UMR,
8U,1401,5A ONQ,A333,10/9/2023,23:15,MJI,UMR,
8U,1401,5A-ONQ,A330,10/2/2023,23:15,MJI,UMR,
8U,1403,,A330,10/2/2023,10:00,MJI,UMR,
8U,1403,,A330,10/9/2023,10:00,MJI,UMR,
8U,1403,5AONQ,A330,10/16/2023,10:00,MJI,UMR,
8U,1405,,A330,10/12/2023,23:00,MJI,UMR,
8U,1405,5AONQ,A330,10/5/2023,23:00,MJI,UMR,
8U,1407,,A330,10/3/2023,22:50,MJI,UMR,
8U,1407,5A-ONQ,A330,10/10/2023,22:50,MJI,UMR,
8U,1409,,A330,10/12/2023,22:40,MJI,UMR,
8U,1411,,A330,10/15/2023,23:00,MJI,UMR,
8U,1413,,A330,10/11/2023,10:00,MJI,UMR,
8U,1413,,A330,10/4/2023,10:00,MJI,UMR,
8U,1415,5AONQ,A330,10/14/2023,10:00,MJI,UMR,
8U,1415,5AONQ,A333,10/7/2023,10:00,MJI,UMR,
8U,1507,,A320,10/11/2023,01:30,BEN,UMR,
8U,1507,5A-OND,A319,10/4/2023,01:30,BEN,UMR,
8U,1509,,A320,10/14/2023,10:40,BEN,UMR,
8U,1511,,A320,10/14/2023,01:35,BEN,UMR,
8U,1515,,A320,10/14/2023,21:40,MRA,UMR,
8U,1517,,A320,10/10/2023,21:45,MRA,UMR,
8U,1517,,A320,10/3/2023,21:45,MRA,UMR,
8U,1519,,A320,10/12/2023,22:05,MRA,,
A3,951,,A320,10/19/2023,00:30,ATH,,
A3,951,,A320,10/20/2023,00:30,ATH,,
A3,951,,A320,10/23/2023,00:30,ATH,,
A3,951,,A320,10/26/2023,00:30,ATH,,
A3,951,,A320,10/27/2023,00:30,ATH,,
A3,951,,A320,10/30/2023,00:30,ATH,,
A3,951,SX NAA,A321,10/9/2023,00:30,ATH,,
A3,951,SXNAA,A320,10/13/2023,00:30,ATH,,
A3,951,SXNAA,A321,10/16/2023,00:30,ATH,,
A3,951,SXNAA,A321,10/5/2023,00:30,ATH,,
A3,951,SXNAB,A321,10/12/2023,00:30,ATH,,
A3,951,SXNAH,A321,10/6/2023,00:30,ATH,,
A3,951,SXNAK,A320,10/2/2023,00:30,ATH,,
AH,0461,,A332,10/30/2023,22:20,ALG,,
AH,0463,,A332,10/30/2023,03:20,ORN,,
AH,0467,,A332,10/29/2023,03:20,ALG,,
AH,4301,7TVJC,A332,10/5/2023,01:00,OGX,UMR,
AH,4303,7TVJY,A332,10/4/2023,23:00,TMR,UMR,
AH,4303,7TVJY,A332,10/6/2023,23:35,AZR,UMR,
AH,4305,7T VJY,A332,10/8/2023,07:55,GHA,UMR,
AH,4401,,B738,10/30/2023,01:05,AAE,UMR,
AH,4401,7T-VKP,B737,10/2/2023,01:05,AAE,UMR,
AH,4403,7TVKE,B738,10/7/2023,01:25,AAE,UMR,
AH,4405,7TVKE,B738,10/8/2023,01:05,AAE,,
AH,4473,7TVJW,A332,10/9/2023,09:10,CZL,UMR,
AH,4551,7TVJY,A332,10/3/2023,07:15,ORN,UMR,
AH,4581,7T VKC,B738,10/9/2023,23:00,ELU,UMR,
AH,4581,7TVKF,B738,10/16/2023,23:00,ELU,UMR,
AH,461,,A332,10/14/2023,22:20,ALG,,
AH,461,,A332,10/21/2023,22:20,ALG,,
AH,461,,A332,10/23/2023,22:20,ALG,,
AH,461,,A332,10/28/2023,22:20,ALG,,
AH,461,7TVJA,A332,10/16/2023,22:20,ALG,,
AH,461,7TVJC,A332,10/2/2023,22:20,ALG,,
AH,461,7TVJV,A332,10/9/2023,22:20,ALG,,
AH,461,7TVJW,A332,10/7/2023,22:20,ALG,,
AH,463,,A332,10/20/2023,10:50,ORN,,
AH,463,,A332,10/23/2023,03:20,ORN,,
AH,463,,A332,10/27/2023,10:50,ORN,,
AH,463,7T VJW,A332,10/6/2023,10:50,ORN,,
AH,463,7T VJY,A332,10/9/2023,03:20,ORN,,
AH,463,7T-VJW,A332,10/2/2023,03:20,ORN,,
AH,463,7TVJY,A332,10/13/2023,10:50,ORN,,
AH,463,7TVJY,A332,10/16/2023,03:20,ORN,,
AH,465,,A332,10/19/2023,03:20,CZL,,
AH,465,,A332,10/26/2023,03:20,CZL,,
AH,465,7TVJW,A332,10/5/2023,03:20,CZL,,
AH,465,7TVJY,A332,10/12/2023,03:20,CZL,,
AH,467,,A332,10/22/2023,03:20,ALG,,
AH,467,7T VJC,A332,10/1/2023,03:20,ALG,,
AH,467,7T VJV,A332,10/8/2023,03:20,ALG,,
AH,467,7TVJA,A332,10/15/2023,03:20,ALG,,
AH,469,,A332,10/18/2023,13:20,CZL,,
AH,469,,A332,10/25/2023,13:20,CZL,,
AH,469,7TVJW,A330-202,10/4/2023,13:20,CZL,,
AH,469,7TVJY,A332,10/11/2023,13:20,CZL,,
AH,4831,,A332,10/25/2023,00:35,OGX,UMR,
AI,932,,A320,10/17/2023,19:40,BOM,,
AI,932,,A320,10/18/2023,19:40,BOM,,
AI,932,,A320,10/19/2023,19:40,BOM,,
AI,932,,A320,10/20/2023,19:40,BOM,,
AI,932,,A320,10/21/2023,19:40,BOM,,
AI,932,,A320,10/22/2023,19:40,BOM,,
AI,932,,A320,10/23/2023,19:40,BOM,,
AI,932,,A320,10/24/2023,19:40,BOM,,
AI,932,,A320,10/25/2023,19:40,BOM,,
AI,932,,A320,10/26/2023,19:40,BOM,,
AI,932,,A320,10/27/2023,19:40,BOM,,
AI,932,,A320,10/28/2023,19:40,BOM,,
AI,932,,A320,10/29/2023,19:30,BOM,,
AI,932,,A320,10/30/2023,19:30,BOM,,
AI,932,,A320,10/31/2023,19:30,BOM,,
AI,932,VTCIE,A320,10/6/2023,19:40,BOM,,
AI,932,VTCIF,A320,10/14/2023,19:40,BOM,,
AI,932,VT-CIF,A320-251N,10/13/2023,19:40,BOM,,
AI,932,VTCIH,A320,10/7/2023,19:40,BOM,,
AI,932,VTCIO,A320,10/15/2023,19:40,BOM,,
AI,932,VTCIO,A320,10/3/2023,19:40,BOM,,
AI,932,VT-CIO,A320-251N,10/8/2023,19:40,BOM,,
AI,932,VTCIQ,A320,10/5/2023,19:40,BOM,,
AI,932,VT-EXJ,A320-251N,10/11/2023,19:40,BOM,,
AI,932,VTEXM,A320,10/4/2023,19:40,BOM,,
AI,932,VTEXN,A320,10/16/2023,19:40,BOM,,
AI,932,VT-EXN,A320-251N,10/10/2023,19:40,BOM,,
AI,932,VT-EXQ,A320-251N,10/12/2023,19:40,BOM,,
AI,932,VTEXR,A320-251N,10/9/2023,19:40,BOM,,
AI,932,VTEXS,A320,10/2/2023,19:40,BOM,,
AI,932,VTEXU,A320,10/1/2023,19:40,BOM,,
AI,966,,A320,10/18/2023,07:40,HYD,,
AI,966,,A320,10/19/2023,07:40,HYD,,
AI,966,,A320,10/20/2023,07:40,HYD,,
AI,966,,A320,10/21/2023,07:40,HYD,,
AI,966,,A320,10/22/2023,07:40,HYD,,
AI,966,,A320,10/23/2023,07:40,HYD,,
AI,966,,A320,10/24/2023,07:40,HYD,,
AI,966,,A320,10/25/2023,07:40,HYD,,
AI,966,,A320,10/26/2023,07:40,HYD,,
AI,966,,A320,10/27/2023,07:40,HYD,,
AI,966,,A320,10/28/2023,07:40,HYD,,
AI,966,,A320,10/29/2023,07:05,HYD,,
AI,966,,A320,10/30/2023,07:05,HYD,,
AI,966,,A320,10/31/2023,07:05,HYD,,
AI,966,VT CIE,A320,10/8/2023,07:40,HYD,,
AI,966,VT CIF,A320,10/11/2023,07:40,HYD,,
AI,966,VT EXI,A320,10/7/2023,07:40,HYD,,
AI,966,VTCIH,A320,10/2/2023,07:40,HYD,,
AI,966,VTCIP,A320,10/6/2023,07:40,HYD,,
AI,966,VTEXG,A320,10/12/2023,07:40,HYD,,
AI,966,VTEXG,A320,10/3/2023,07:40,HYD,,
AI,966,VTEXI,A320,10/15/2023,07:40,HYD,,
AI,966,VTEXI,A320,10/17/2023,07:40,HYD,,
AI,966,VTEXK,A320,10/14/2023,07:40,HYD,,
AI,966,VTEXM,A320,10/10/2023,07:40,HYD,,
AI,966,VTEXM,A320,10/9/2023,07:40,HYD,,
AI,966,VTEXP,A320,10/1/2023,07:40,HYD,,
AI,966,VTEXP,A320,10/16/2023,07:40,HYD,,
AI,966,VTEXS,A320,10/13/2023,07:40,HYD,,
AI,966,VTEXV,A320,10/4/2023,07:40,HYD,,
AI,966,VTEXV,A320,10/5/2023,07:40,HYD,,
AI,992,,A320,10/17/2023,17:55,DEL,,
AI,992,,A320,10/19/2023,17:55,DEL,,
AI,992,,A320,10/21/2023,17:55,DEL,,
AI,992,,A320,10/24/2023,17:55,DEL,,
AI,992,,A320,10/26/2023,17:55,DEL,,
AI,992,,A320,10/28/2023,17:55,DEL,,
AI,992,,A320,10/31/2023,18:15,DEL,,
AI,992,VTCID,A320,10/3/2023,17:55,DEL,,
AI,992,VTCIE,A320,10/5/2023,17:55,DEL,,
AI,992,VTCIP,A320,10/12/2023,17:55,DEL,,
AI,992,VTEXF,A320,10/7/2023,17:55,DEL,,
AI,992,VTEXG,A320,10/14/2023,17:55,DEL,,
AI,992,VTEXI,A320,10/10/2023,17:55,DEL,,
AT,249,,B787,10/18/2023,12:05,CMN,,
AT,249,,B787,10/20/2023,12:05,CMN,,
AT,249,,B787,10/24/2023,12:05,CMN,,
AT,249,,B787,10/25/2023,12:05,CMN,,
AT,249,,B787,10/27/2023,12:05,CMN,,
AT,249,,B787,10/30/2023,12:00,CMN,,
AT,249,,B787,10/31/2023,12:00,CMN,,
AT,249,CN RGB,B788,10/11/2023,12:05,CMN,,
AT,249,CNRGB,B787,10/6/2023,12:05,CMN,,
AT,249,CNRGS,B787-8,10/4/2023,12:05,CMN,,
AT,249,CNRGT,B787,10/10/2023,12:05,CMN,,
AT,249,CNRGU,B787-800,10/13/2023,12:05,CMN,,
AT,255,,B787,10/22/2023,12:05,CMN,,
AT,255,CNRGS,B787,10/8/2023,12:05,CMN,,
AT,255,CNRGT,B787,10/1/2023,12:05,CMN,,
AT,255,CN-RGU,B787,10/15/2023,12:05,CMN,,
BG,136,,B777,10/17/2023,22:00,CGP,,
BG,136,,B777,10/19/2023,22:00,CGP,,
BG,136,,B777,10/21/2023,22:00,CGP,,
BG,136,,B777,10/24/2023,22:00,CGP,,
BG,136,,B777,10/26/2023,22:00,CGP,,
BG,136,,B777,10/28/2023,22:00,CGP,,
BG,136,,B777,10/31/2023,22:00,CGP,,
BG,136,S2AFP,B773,10/3/2023,22:00,CGP,,
BG,136,S2-AFP,B777-3E9,10/10/2023,22:00,CGP,,
BG,136,S2AHM,B773,10/5/2023,22:00,CGP,,
BG,136,S2AHM,B773,10/7/2023,22:00,CGP,,
BG,136,S2-AHM,B777,10/12/2023,22:00,CGP,,
BG,136,S2AHN,B773,10/14/2023,22:00,CGP,,
BG,236,,B777,10/23/2023,22:20,ZYL,,
BG,236,,B777,10/30/2023,22:20,ZYL,,
BG,236,S2AHM,B773,10/16/2023,22:00,DAC,,
BG,236,S2AHN,B773,10/2/2023,22:00,ZYL,,
BG,236,S2AHN,B777-3E9,10/9/2023,22:00,ZYL,,
BG,336,,B777,10/18/2023,22:00,DAC,,
BG,336,,B777,10/20/2023,22:00,DAC,,
BG,336,,B777,10/22/2023,22:00,DAC,,
BG,336,,B777,10/25/2023,22:00,DAC,,
BG,336,,B777,10/27/2023,22:00,DAC,,
BG,336,,B777,10/29/2023,22:00,DAC,,
BG,336,S2AFP,B773,10/15/2023,22:00,DAC,,
BG,336,S2AFP,B773,10/4/2023,22:00,DAC,,
BG,336,S2AFP,B777-3E9,10/13/2023,22:00,DAC,,
BG,336,S2-AFP,B777-3E9,10/8/2023,22:00,DAC,,
BG,336,S2AHM,B773,10/6/2023,22:00,DAC,,
BG,336,S2-AHM,B777,10/1/2023,22:00,DAC,,
BG,336,S2-AHM,B777-3E9,10/11/2023,22:00,DAC,,
BG,336A,S2AFP,B773,10/4/2023,22:35,DAC,SKX,
BI,002,,B788,10/21/2023,15:15,BWN,,
BI,002,,B788,10/24/2023,15:15,BWN,,
BI,002,,B788,10/28/2023,15:15,BWN,,
BI,002,,B788,10/31/2023,15:15,BWN,,
BI,002,V8 DLA,B788,10/10/2023,15:15,BWN,,
BI,002,V8 DLA,B788,10/7/2023,15:15,BWN,,
BI,002,V8DLC,B788,10/17/2023,15:15,BWN,,
BI,002,V8DLC,B788,10/3/2023,15:15,BWN,,
BI,002,V8DLE,B788,10/14/2023,15:15,BWN,,
BM,3001,,A320,10/19/2023,18:45,MRA,UMR,
BM,3001,,A320,10/22/2023,18:45,MRA,UMR,
BM,3003,,A320,10/27/2023,11:45,MJI,UMR,
BM,3003,5A-MSB,A320,10/16/2023,11:45,MJI,UMR,
BM,3003,5A-MSB,A320-214,10/9/2023,21:45,MRA,UMR,
BM,3003,9HMSA,A320,10/14/2023,11:45,MJI,UMR,
D3,169,,B733,10/31/2023,05:30,MGQ,,
D3,169,,B734,10/14/2023,11:00,MGQ,,
D3,169,,B734,10/21/2023,11:00,MGQ,,
D3,169,,B734,10/28/2023,11:00,MGQ,,
D3,169,,B734,10/7/2023,11:00,MGQ,,
D3,169,,B737,10/20/2023,05:45,MGQ,,
D3,169,,B737,10/24/2023,11:00,MGQ,,
D3,169,,B737,10/27/2023,05:45,MGQ,,
D3,169,5YFQB,B737-400,10/6/2023,05:45,MGQ,,
D3,169,5YKQB,B733,10/10/2023,11:00,MGQ,,
D3,169,5YKQB,B737,10/17/2023,11:00,MGQ,,
D3,169,5YKQB,B737-300,10/3/2023,11:00,MGQ,,
D3,169,5Y-KQB,B737-3U8,10/13/2023,05:45,MGQ,,
D7,0705,9MXXR,A333,10/15/2023,04:20,KUL,,
D7,173,,A330,10/1/2023,04:20,KUL,,
D7,173,,A330,10/10/2023,04:20,KUL,,
D7,173,,A330,10/15/2023,04:20,KUL,,
D7,173,,A330,10/16/2023,04:20,KUL,,
D7,173,,A330,10/2/2023,04:20,KUL,,
D7,173,,A330,10/22/2023,04:20,KUL,,
D7,173,,A330,10/23/2023,04:20,KUL,,
D7,173,,A330,10/24/2023,04:20,KUL,,
D7,173,,A330,10/3/2023,04:20,KUL,,
D7,173,,A330,10/8/2023,04:20,KUL,,
D7,173,,A330,10/9/2023,04:20,KUL,,
D7,701,,A330,10/11/2023,07:50,KUL,,
D7,701,,A330,10/14/2023,07:50,KUL,,
D7,701,,A330,10/18/2023,07:50,KUL,,
D7,701,,A330,10/19/2023,07:50,KUL,,
D7,701,,A330,10/21/2023,07:50,KUL,,
D7,701,,A330,10/25/2023,07:50,KUL,,
D7,701,,A330,10/26/2023,07:50,KUL,,
D7,701,,A330,10/28/2023,07:50,KUL,,
D7,701,,A333,10/29/2023,08:20,KUL,,
D7,701,,A333,10/31/2023,08:20,KUL,,
D7,701,,A333,10/7/2023,07:50,KUL,,
D7,701,9M-XXG,A330,10/4/2023,07:50,KUL,,
D7,701,9M-XXG,A330,10/5/2023,07:50,KUL,,
D7,701,9MXXZ,A333,10/12/2023,07:50,KUL,,
D7,703,,A333,10/31/2023,03:00,KUL,,
D7,705,9M XXV,A333,10/10/2023,04:20,KUL,,
D7,705,9MXXF,A333,10/17/2023,04:20,KUL,,
D7,705,9M-XXJ,A330,10/2/2023,04:20,KUL,,
D7,705,9MXXO,A333,10/8/2023,04:20,KUL,,
DV,3452,,B738,10/10/2023,17:50,SCO,UMR,
DV,3452,,B738,10/17/2023,17:50,SCO,UMR,
DV,3452,,B738,10/24/2023,17:50,SCO,UMR,
DV,3452,,B738,10/3/2023,17:50,SCO,UMR,
DV,3462,,B738,10/12/2023,08:00,ALA,UMR,
DV,3462,,B738,10/19/2023,08:00,ALA,UMR,
DV,3462,,B738,10/26/2023,08:00,ALA,UMR,
DV,3462,,B738,10/5/2023,08:00,ALA,UMR,
DV,3468,,B738,10/21/2023,12:50,CIT,UMR,
DV,3468,,B738,10/28/2023,12:50,CIT,UMR,
DV,3468,UPB37,B738,10/7/2023,12:50,CIT,UMR,
DV,3468,UPB3731,B738,10/14/2023,12:50,CIT,UMR,
E5,322,,A320,10/20/2023,02:00,HBE,,
E5,322,,A320,10/22/2023,02:00,HBE,,
E5,322,,A320,10/23/2023,05:10,HBE,,
E5,322,,A320,10/27/2023,02:00,HBE,,
E5,322,SU AAD,A320,10/1/2023,00:35,HBE,,
E5,322,SU AAD,A320,10/2/2023,05:10,HBE,,
E5,322,SU AAD,A320,10/8/2023,00:30,HBE,,
E5,322,SUAAD,A320,10/13/2023,02:00,HBE,,
E5,322,SUAAD,A320,10/15/2023,00:30,HBE,,
E5,322,SUAAD,A320,10/16/2023,05:10,HBE,,
E5,322,SUAAD,A320,10/9/2023,05:10,HBE,,
E5,322,SU-AAD,A320,10/6/2023,02:00,HBE,,
E5,324,,A320,10/18/2023,05:10,HBE,,
E5,324,,A320,10/25/2023,05:10,HBE,,
E5,324,,A320,10/29/2023,00:05,HBE,,
E5,324,SU AAD,A320,10/11/2023,05:10,HBE,,
E5,324,SUAAD,A320,10/4/2023,05:10,HBE,,
E5,326,,A320,10/19/2023,09:55,HBE,,
E5,326,,A320,10/21/2023,10:00,HBE,,
E5,326,,A320,10/22/2023,10:00,HBE,,
E5,326,,A320,10/24/2023,09:55,HBE,,
E5,326,,A320,10/26/2023,09:55,HBE,,
E5,326,,A320,10/28/2023,10:00,HBE,,
E5,326,,A320,10/29/2023,09:40,HBE,,
E5,326,,A320,10/31/2023,09:40,HBE,,
E5,326,SUAAD,A320,10/1/2023,10:00,HBE,,
E5,326,SUAAD,A320,10/10/2023,09:55,HBE,,
E5,326,SUAAD,A320,10/12/2023,09:55,HBE,,
E5,326,SUAAD,A320,10/14/2023,10:00,HBE,,
E5,326,SUAAD,A320,10/17/2023,09:55,HBE,,
E5,326,SUAAD,A320,10/3/2023,09:55,HBE,,
E5,326,SUAAD,A320,10/5/2023,09:55,HBE,,
E5,326,SUAAD,A320,10/7/2023,10:00,HBE,,
E5,326,SUAAD,A320,10/8/2023,10:00,HBE,,
E5,326,SU-AAD,A320,10/15/2023,10:00,HBE,,
E5,328,,A320,10/14/2023,08:10,CAI,,
E5,328,,A320,10/15/2023,06:00,CAI,,
E5,328,,A320,10/18/2023,06:00,CAI,,
E5,328,,A320,10/20/2023,06:00,CAI,,
E5,328,,A320,10/21/2023,08:10,CAI,,
E5,328,,A320,10/22/2023,06:00,CAI,,
E5,328,,A320,10/23/2023,06:00,CAI,,
E5,328,,A320,10/25/2023,06:00,CAI,,
E5,328,,A320,10/27/2023,06:00,CAI,,
E5,328,,A320,10/28/2023,08:10,CAI,,
E5,328,,A320,10/29/2023,05:30,CAI,,
E5,328,,A320,10/30/2023,06:25,CAI,,
E5,328,,A320,10/31/2023,05:25,CAI,,
E5,328,,A320,10/7/2023,08:10,CAI,,
E5,328,SU AAF,A320,10/11/2023,06:00,CAI,,
E5,328,SU AAF,A320,10/2/2023,06:00,CAI,,
E5,328,SU AAF,A320,10/8/2023,06:00,CAI,,
E5,328,SU AAF,A320,10/9/2023,06:00,CAI,,
E5,328,SU AAI,A320,10/1/2023,06:00,CAI,,
E5,328,SUAAF,A320,10/13/2023,06:00,CAI,,
E5,328,SUAAF,A320,10/4/2023,06:00,CAI,,
E5,328,SUAAI,A320,10/16/2023,06:00,CAI,,
E5,328,SU-AAI,A320,10/6/2023,06:00,CAI,,
E5,362,,A320,10/16/2023,23:05,CAI,,
E5,362,,A320,10/2/2023,23:05,CAI,,
E5,362,,A320,10/23/2023,23:05,CAI,,
E5,362,,A320,10/9/2023,23:05,CAI,,
E5,392,,A320,10/31/2023,01:30,HBE,,
EB,PLM983P,ECNTY,A330,10/13/2023,11:00,PMI,COMP BUSINESS,
EK,802,,A380,10/18/2023,01:10,DXB,,
EK,802,,A380,10/19/2023,01:10,DXB,,
EK,802,,A380,10/20/2023,01:10,DXB,,
EK,802,,A380,10/21/2023,01:10,DXB,,
EK,802,,A380,10/22/2023,01:10,DXB,,
EK,802,,A380,10/23/2023,01:10,DXB,,
EK,802,,A380,10/24/2023,01:10,DXB,,
EK,802,,A380,10/25/2023,01:10,DXB,,
EK,802,,A380,10/26/2023,01:10,DXB,,
EK,802,,A380,10/27/2023,01:10,DXB,,
EK,802,,A380,10/28/2023,01:10,DXB,,
EK,802,,A380,10/29/2023,01:10,DXB,,
EK,802,,A380,10/30/2023,01:10,DXB,,
EK,802,,A380,10/31/2023,01:10,DXB,,
EK,802,A6 EEA,A380,10/8/2023,01:10,DXB,,
EK,802,A6 EEX,A380,10/9/2023,01:10,DXB,,
EK,802,A6 EOA,A380,10/1/2023,01:10,DXB,,
EK,802,A6 EOI,A380,10/10/2023,01:10,DXB,,
EK,802,A6 EOT,A380,10/11/2023,01:10,DXB,,
EK,802,A6EES,A380,10/4/2023,01:10,DXB,,
EK,802,A6EEW,A380,10/16/2023,01:10,DXB,,
EK,802,A6EOA,A380,10/3/2023,01:10,DXB,,
EK,802,A6-EOB,A380-861,10/14/2023,01:10,DXB,,
EK,802,A6EOF,A380,10/12/2023,01:10,DXB,,
EK,802,A6-EOJ,A380,10/7/2023,01:10,DXB,,
EK,802,A6EOT,A380,10/15/2023,01:10,DXB,,
EK,802,A6EOU,A380,10/6/2023,01:10,DXB,,
EK,802,A6EOZ,A380,10/17/2023,01:10,DXB,,
EK,802,A6EUB,A380,10/13/2023,01:10,DXB,,
EK,802,A6-EUB,A380,10/2/2023,01:10,DXB,,
EK,802,A6EVI,A380,10/5/2023,01:10,DXB,,
EK,804,,A380,10/17/2023,17:05,DXB,,
EK,804,,A380,10/18/2023,17:05,DXB,,
EK,804,,A380,10/19/2023,17:05,DXB,,
EK,804,,A380,10/20/2023,17:05,DXB,,
EK,804,,A380,10/21/2023,17:05,DXB,,
EK,804,,A380,10/22/2023,17:05,DXB,,
EK,804,,A380,10/23/2023,17:05,DXB,,
EK,804,,A380,10/24/2023,17:05,DXB,,
EK,804,,A380,10/25/2023,17:05,DXB,,
EK,804,,A380,10/26/2023,17:05,DXB,,
EK,804,,A380,10/27/2023,17:05,DXB,,
EK,804,,A380,10/28/2023,17:05,DXB,,
EK,804,,A380,10/29/2023,17:05,DXB,,
EK,804,,A380,10/30/2023,17:05,DXB,,
EK,804,,A380,10/31/2023,17:05,DXB,,
EK,804,A6EDM,A380,10/12/2023,17:05,DXB,,
EK,804,A6EDS,A380,10/8/2023,17:05,DXB,,
EK,804,A6EEA,A380,10/15/2023,17:05,DXB,,
EK,804,A6EEB,A380,10/4/2023,17:05,DXB,,
EK,804,A6EED,A380,10/6/2023,17:05,DXB,,
EK,804,A6EEV,A380,10/9/2023,17:05,DXB,,
EK,804,A6EOA,A380,10/1/2023,17:05,DXB,,
EK,804,A6EOA,A380,10/7/2023,17:05,DXB,,
EK,804,A6-EOK,A380,10/14/2023,17:05,DXB,,
EK,804,A6EUD,A380,10/2/2023,17:05,DXB,,
EK,804,A6EUG,A380,10/11/2023,17:05,DXB,,
EK,804,A6EUH,A380,10/3/2023,17:05,DXB,,
EK,804,A6EUH,A380,10/5/2023,17:05,DXB,,
EK,804,A6EUI,A380,10/10/2023,17:05,DXB,,
EK,804,A6EUJ,A380,10/16/2023,17:05,DXB,,
EK,804,A6EUR,A380,10/13/2023,17:05,DXB,,
EK,806,,A380,10/18/2023,07:45,DXB,,
EK,806,,A380,10/19/2023,07:45,DXB,,
EK,806,,A380,10/20/2023,07:45,DXB,,
EK,806,,A380,10/21/2023,07:45,DXB,,
EK,806,,A380,10/22/2023,07:45,DXB,,
EK,806,,A380,10/23/2023,07:45,DXB,,
EK,806,,A380,10/24/2023,07:45,DXB,,
